FILE;LOC;COM;BLK;NOF;NOC;APF;AMC;NER;NEH;CYC;MAD;BUG
./scikit-learn/sklearn\ensemble\_hist_gradient_boosting\utils.py;124;10;22;1;0;3.0;0.0;3;0;20;9;0
./scikit-learn/sklearn\externals\_packaging\_structures.py;62;19;28;18;2;1.67;9.0;0;0;1;8;0
./scikit-learn/sklearn\externals\_scipy\sparse\csgraph\_laplacian.py;455;5;102;11;0;4.27;0.0;6;0;45;12;0
./scikit-learn/sklearn\feature_extraction\image.py;576;19;105;14;1;2.71;4.0;4;0;33;11;0
./scikit-learn/sklearn\feature_extraction\_dict_vectorizer.py;373;15;79;10;1;2.6;10.0;4;0;51;14;0
./scikit-learn/sklearn\feature_extraction\_hash.py;162;4;35;5;1;1.8;4.0;2;0;6;10;0
./scikit-learn/sklearn\feature_selection\_base.py;224;9;37;7;1;2.14;6.0;4;0;19;13;0
./scikit-learn/sklearn\feature_selection\_mutual_info.py;485;7;95;7;0;2.71;0.0;2;0;25;11;0
./scikit-learn/sklearn\feature_selection\_rfe.py;663;43;153;17;2;2.29;7.0;0;0;14;11;0
./scikit-learn/sklearn\feature_selection\_sequential.py;247;11;54;5;1;2.6;5.0;2;0;22;11;0
./scikit-learn/sklearn\feature_selection\_variance_threshold.py;107;5;29;4;1;1.75;4.0;1;0;7;10;0
./scikit-learn/sklearn\gaussian_process\_gpr.py;566;71;103;8;1;3.0;7.0;7;2;56;13;0
./scikit-learn/sklearn\impute\_iterative.py;804;26;156;13;1;3.0;12.0;3;0;53;13;0
./scikit-learn/sklearn\impute\_knn.py;324;25;77;6;1;2.5;5.0;0;0;13;14;0
./scikit-learn/sklearn\impute\__init__.py;19;4;6;1;0;1.0;0.0;2;0;3;8;0
./scikit-learn/sklearn\inspection\_pd_utils.py;55;3;9;2;0;2.0;0.0;3;1;10;11;0
./scikit-learn/sklearn\inspection\_plot\decision_boundary.py;342;8;70;4;1;3.0;3.0;10;1;41;12;0
./scikit-learn/sklearn\linear_model\_base.py;689;54;156;21;4;2.52;3.0;1;0;57;15;0
./scikit-learn/sklearn\linear_model\_huber.py;288;20;64;3;1;3.67;2.0;1;0;11;11;0
./scikit-learn/sklearn\linear_model\_passive_aggressive.py;465;2;110;6;2;3.17;3.0;1;0;8;8;0
./scikit-learn/sklearn\linear_model\_perceptron.py;181;2;48;1;1;1.0;1.0;0;0;1;8;0
